geo,wst_oper,unit,year,value
ES,GEN,KG_HAB,,240
EU27_2020,GEN,KG_HAB,,241
ES,GEN,KG_HAB,,A
EU27_2020,GEN,KG_HAB,,A
ES,GEN,KG_HAB,1995.0,505.0
EU27_2020,GEN,KG_HAB,1995.0,467.0
ES,GEN,KG_HAB,1996.0,530.0
EU27_2020,GEN,KG_HAB,1996.0,478.0
ES,GEN,KG_HAB,1997.0,554.0
EU27_2020,GEN,KG_HAB,1997.0,491.0
ES,GEN,KG_HAB,1998.0,557.0
EU27_2020,GEN,KG_HAB,1998.0,487.0
ES,GEN,KG_HAB,1999.0,606.0
EU27_2020,GEN,KG_HAB,1999.0,500.0
ES,GEN,KG_HAB,2000.0,653.0
EU27_2020,GEN,KG_HAB,2000.0,513.0
ES,GEN,KG_HAB,2001.0,652.0
EU27_2020,GEN,KG_HAB,2001.0,509.0
ES,GEN,KG_HAB,2002.0,637.0
EU27_2020,GEN,KG_HAB,2002.0,515.0
ES,GEN,KG_HAB,2003.0,646.0
EU27_2020,GEN,KG_HAB,2003.0,502.0
ES,GEN,KG_HAB,2004.0,600.0
EU27_2020,GEN,KG_HAB,2004.0,500.0
ES,GEN,KG_HAB,2005.0,588.0
EU27_2020,GEN,KG_HAB,2005.0,506.0
ES,GEN,KG_HAB,2006.0,590.0
EU27_2020,GEN,KG_HAB,2006.0,513.0
ES,GEN,KG_HAB,2007.0,578.0
EU27_2020,GEN,KG_HAB,2007.0,517.0
ES,GEN,KG_HAB,2008.0,551.0
EU27_2020,GEN,KG_HAB,2008.0,517.0
ES,GEN,KG_HAB,2009.0,542.0
EU27_2020,GEN,KG_HAB,2009.0,509.0
ES,GEN,KG_HAB,2010.0,510.0
EU27_2020,GEN,KG_HAB,2010.0,503.0
ES,GEN,KG_HAB,2011.0,485.0
EU27_2020,GEN,KG_HAB,2011.0,499.0
ES,GEN,KG_HAB,2012.0,468.0
EU27_2020,GEN,KG_HAB,2012.0,487.0
ES,GEN,KG_HAB,2013.0,455.0
EU27_2020,GEN,KG_HAB,2013.0,479.0
ES,GEN,KG_HAB,2014.0,448.0
EU27_2020,GEN,KG_HAB,2014.0,479.0
ES,GEN,KG_HAB,2015.0,456.0
EU27_2020,GEN,KG_HAB,2015.0,481.0
ES,GEN,KG_HAB,2016.0,464.0
EU27_2020,GEN,KG_HAB,2016.0,494.0
ES,GEN,KG_HAB,2017.0,473.0
EU27_2020,GEN,KG_HAB,2017.0,500.0
ES,GEN,KG_HAB,2018.0,475.0
EU27_2020,GEN,KG_HAB,2018.0,500.0
ES,GEN,KG_HAB,2019.0,472.0
EU27_2020,GEN,KG_HAB,2019.0,505.0
ES,GEN,KG_HAB,2020.0,463.0
EU27_2020,GEN,KG_HAB,2020.0,521.0
ES,GEN,KG_HAB,2021.0,482.0
EU27_2020,GEN,KG_HAB,2021.0,534.0
ES,GEN,KG_HAB,2022.0,482.0
EU27_2020,GEN,KG_HAB,2022.0,515.0
ES,GEN,KG_HAB,2023.0,465.0
EU27_2020,GEN,KG_HAB,2023.0,511.0
