geo,waste,wst_oper,unit,year,value
ES,W1501,RCV,PC,,135
EU27_2020,W1501,RCV,PC,,136
ES,W1501,RCV,PC,,A
EU27_2020,W1501,RCV,PC,,A
ES,W1501,RCV,PC,1997.0,37.5
ES,W1501,RCV,PC,1998.0,37.3
ES,W1501,RCV,PC,1999.0,41.9
ES,W1501,RCV,PC,2000.0,44.2
ES,W1501,RCV,PC,2001.0,49.7
ES,W1501,RCV,PC,2002.0,49.8
ES,W1501,RCV,PC,2003.0,48.3
ES,W1501,RCV,PC,2004.0,53.0
ES,W1501,RCV,PC,2005.0,56.1
EU27_2020,W1501,RCV,PC,2005.0,67.7
ES,W1501,RCV,PC,2006.0,60.7
EU27_2020,W1501,RCV,PC,2006.0,69.9
ES,W1501,RCV,PC,2007.0,62.1
EU27_2020,W1501,RCV,PC,2007.0,73.8
ES,W1501,RCV,PC,2008.0,65.4
EU27_2020,W1501,RCV,PC,2008.0,73.8
ES,W1501,RCV,PC,2009.0,67.8
EU27_2020,W1501,RCV,PC,2009.0,75.8
ES,W1501,RCV,PC,2010.0,70.0
EU27_2020,W1501,RCV,PC,2010.0,77.9
ES,W1501,RCV,PC,2011.0,72.1
EU27_2020,W1501,RCV,PC,2011.0,79.1
ES,W1501,RCV,PC,2012.0,72.5
EU27_2020,W1501,RCV,PC,2012.0,80.2
ES,W1501,RCV,PC,2013.0,73.1
EU27_2020,W1501,RCV,PC,2013.0,80.1
ES,W1501,RCV,PC,2014.0,75.0
EU27_2020,W1501,RCV,PC,2014.0,81.0
ES,W1501,RCV,PC,2015.0,73.4
EU27_2020,W1501,RCV,PC,2015.0,81.2
ES,W1501,RCV,PC,2016.0,76.8
EU27_2020,W1501,RCV,PC,2016.0,81.7
ES,W1501,RCV,PC,2017.0,74.2
EU27_2020,W1501,RCV,PC,2017.0,81.6
ES,W1501,RCV,PC,2018.0,74.5
EU27_2020,W1501,RCV,PC,2018.0,80.4
ES,W1501,RCV,PC,2019.0,75.5
EU27_2020,W1501,RCV,PC,2019.0,81.0
ES,W1501,RCV,PC,2020.0,70.2
EU27_2020,W1501,RCV,PC,2020.0,80.0
ES,W1501,RCV,PC,2021.0,74.0
EU27_2020,W1501,RCV,PC,2021.0,79.6
ES,W1501,RCV,PC,2022.0,72.0
EU27_2020,W1501,RCV,PC,2022.0,80.0
EU27_2020,W1501,RCV,PC,2023.0,81.9
