geo,year,value
ES,1997,33.5
ES,1998,33.6
ES,1999,37.9
ES,2000,39.8
ES,2001,43.6
ES,2002,44.3
ES,2003,43.1
ES,2004,47.4
ES,2005,50.4
ES,2006,54.0
ES,2007,56.3
ES,2008,59.1
ES,2009,60.3
ES,2010,61.9
ES,2011,63.9
ES,2012,65.5
ES,2013,66.6
ES,2014,68.7
ES,2015,68.4
ES,2016,70.3
ES,2017,68.5
ES,2018,68.8
ES,2019,69.6
ES,2020,68.3
ES,2021,69.6
ES,2022,69.4
EU27_2020,2005,54.7
EU27_2020,2006,56.8
EU27_2020,2007,59.1
EU27_2020,2008,60.4
EU27_2020,2009,62.6
EU27_2020,2010,64.0
EU27_2020,2011,64.2
EU27_2020,2012,65.2
EU27_2020,2013,65.4
EU27_2020,2014,66.5
EU27_2020,2015,66.6
EU27_2020,2016,67.6
EU27_2020,2017,67.5
EU27_2020,2018,65.6
EU27_2020,2019,64.8
EU27_2020,2020,64.0
EU27_2020,2021,64.0
EU27_2020,2022,65.3
EU27_2020,2023,67.0
