geo,wst_oper,unit,year,value
ES,DSP_I,KG_HAB,,12
EU27_2020,DSP_I,KG_HAB,,13
ES,DSP_I_RCV_E,KG_HAB,,88
EU27_2020,DSP_I_RCV_E,KG_HAB,,89
ES,DSP_L_OTH,KG_HAB,,164
EU27_2020,DSP_L_OTH,KG_HAB,,165
ES,GEN,KG_HAB,,240
EU27_2020,GEN,KG_HAB,,241
ES,RCV_E,KG_HAB,,370
EU27_2020,RCV_E,KG_HAB,,371
ES,RCY,KG_HAB,,446
EU27_2020,RCY,KG_HAB,,447
ES,RCY_C_D,KG_HAB,,522
EU27_2020,RCY_C_D,KG_HAB,,523
ES,RCY_M,KG_HAB,,598
EU27_2020,RCY_M,KG_HAB,,599
ES,TRT,KG_HAB,,674
EU27_2020,TRT,KG_HAB,,675
ES,DSP_I,KG_HAB,,A
EU27_2020,DSP_I,KG_HAB,,A
ES,DSP_I_RCV_E,KG_HAB,,A
EU27_2020,DSP_I_RCV_E,KG_HAB,,A
ES,DSP_L_OTH,KG_HAB,,A
EU27_2020,DSP_L_OTH,KG_HAB,,A
ES,GEN,KG_HAB,,A
EU27_2020,GEN,KG_HAB,,A
ES,RCV_E,KG_HAB,,A
EU27_2020,RCV_E,KG_HAB,,A
ES,RCY,KG_HAB,,A
EU27_2020,RCY,KG_HAB,,A
ES,RCY_C_D,KG_HAB,,A
EU27_2020,RCY_C_D,KG_HAB,,A
ES,RCY_M,KG_HAB,,A
EU27_2020,RCY_M,KG_HAB,,A
ES,TRT,KG_HAB,,A
EU27_2020,TRT,KG_HAB,,A
ES,DSP_I,KG_HAB,1995.0,0.0
EU27_2020,DSP_I,KG_HAB,1995.0,35.0
ES,DSP_I_RCV_E,KG_HAB,1995.0,24.0
EU27_2020,DSP_I_RCV_E,KG_HAB,1995.0,70.0
ES,DSP_L_OTH,KG_HAB,1995.0,305.0
EU27_2020,DSP_L_OTH,KG_HAB,1995.0,286.0
ES,GEN,KG_HAB,1995.0,505.0
EU27_2020,GEN,KG_HAB,1995.0,467.0
ES,RCV_E,KG_HAB,1995.0,24.0
EU27_2020,RCV_E,KG_HAB,1995.0,34.0
ES,RCY,KG_HAB,1995.0,36.0
EU27_2020,RCY,KG_HAB,1995.0,88.0
ES,RCY_C_D,KG_HAB,1995.0,0.0
EU27_2020,RCY_C_D,KG_HAB,1995.0,33.0
ES,RCY_M,KG_HAB,1995.0,36.0
EU27_2020,RCY_M,KG_HAB,1995.0,54.0
ES,TRT,KG_HAB,1995.0,365.0
EU27_2020,TRT,KG_HAB,1995.0,443.0
ES,DSP_I,KG_HAB,1996.0,0.0
EU27_2020,DSP_I,KG_HAB,1996.0,37.0
ES,DSP_I_RCV_E,KG_HAB,1996.0,24.0
EU27_2020,DSP_I_RCV_E,KG_HAB,1996.0,71.0
ES,DSP_L_OTH,KG_HAB,1996.0,295.0
EU27_2020,DSP_L_OTH,KG_HAB,1996.0,276.0
ES,GEN,KG_HAB,1996.0,530.0
EU27_2020,GEN,KG_HAB,1996.0,478.0
ES,RCV_E,KG_HAB,1996.0,24.0
EU27_2020,RCV_E,KG_HAB,1996.0,34.0
ES,RCY,KG_HAB,1996.0,41.0
EU27_2020,RCY,KG_HAB,1996.0,100.0
ES,RCY_C_D,KG_HAB,1996.0,0.0
EU27_2020,RCY_C_D,KG_HAB,1996.0,38.0
ES,RCY_M,KG_HAB,1996.0,41.0
EU27_2020,RCY_M,KG_HAB,1996.0,62.0
ES,TRT,KG_HAB,1996.0,360.0
EU27_2020,TRT,KG_HAB,1996.0,447.0
ES,DSP_I,KG_HAB,1997.0,0.0
EU27_2020,DSP_I,KG_HAB,1997.0,41.0
ES,DSP_I_RCV_E,KG_HAB,1997.0,35.0
EU27_2020,DSP_I_RCV_E,KG_HAB,1997.0,77.0
ES,DSP_L_OTH,KG_HAB,1997.0,315.0
EU27_2020,DSP_L_OTH,KG_HAB,1997.0,276.0
ES,GEN,KG_HAB,1997.0,554.0
EU27_2020,GEN,KG_HAB,1997.0,491.0
ES,RCV_E,KG_HAB,1997.0,35.0
EU27_2020,RCV_E,KG_HAB,1997.0,36.0
ES,RCY,KG_HAB,1997.0,46.0
EU27_2020,RCY,KG_HAB,1997.0,110.0
ES,RCY_C_D,KG_HAB,1997.0,0.0
